sensor_id,timestamp,latitude,longitude,magnitude,depth,region
S01,2024-01-02 05:22:01,34.11,-117.22,5.4,12,California
S02,2024-01-03 08:15:23,35.68,139.65,6.2,25,Japan
S03,2024-01-05 14:30:45,40.73,-74.00,3.1,8,New York
S04,2024-01-07 22:45:12,37.77,-122.41,4.5,15,San Francisco
S05,2024-01-10 03:20:55,36.20,138.25,7.1,35,Japan
S06,2024-01-12 11:05:33,34.05,-118.24,5.8,20,Los Angeles
S07,2024-01-15 19:40:22,38.58,141.00,6.8,30,Japan
S08,2024-01-18 07:25:41,33.45,-112.07,4.2,10,Arizona
S09,2024-01-20 16:55:18,41.88,-87.63,3.8,5,Illinois
S10,2024-01-22 23:10:05,37.09,-113.56,5.2,18,Nevada
