sensor_id,timestamp,latitude,longitude,magnitude,depth,region,severity,depth_category,hazard_level,prediction,hazard_probability,alert_message
S01,2024-01-01 00:00:00,37.3089,-120.7307,2.2,45,Alaska,Low,Deep,0,N/A,N/A,N/A
S02,2024-01-01 00:13:00,30.9538,-123.9294,4.0,42,California,Medium,Deep,1,N/A,N/A,N/A
S03,2024-01-01 00:26:00,30.7584,-115.4316,3.2,41,Oregon,Low,Deep,0,N/A,N/A,N/A
S04,2024-01-01 00:39:00,32.5137,-118.3193,6.9,8,Nevada,High,Shallow,2,N/A,N/A,N/A
S05,2024-01-01 00:52:00,34.0817,-122.4807,2.4,9,California,Low,Shallow,0,N/A,N/A,N/A
S06,2024-01-01 01:05:00,33.098,-121.3416,2.2,17,Alaska,Low,Intermediate,0,N/A,N/A,N/A
S07,2024-01-01 01:18:00,36.5934,-124.3144,6.8,50,Hawaii,High,Deep,2,N/A,N/A,N/A
S08,2024-01-01 01:31:00,31.9448,-117.1028,3.9,40,Alaska,Low,Deep,0,N/A,N/A,N/A
S09,2024-01-01 01:44:00,35.656,-119.0457,2.6,49,Alaska,Low,Deep,0,N/A,N/A,N/A
S10,2024-01-01 01:57:00,38.8145,-117.8773,6.5,31,California,High,Deep,2,N/A,N/A,N/A
S11,2024-01-01 02:10:00,38.7992,-121.305,2.8,38,Nevada,Low,Deep,0,N/A,N/A,N/A
S12,2024-01-01 02:23:00,36.6105,-119.1783,4.1,13,Oregon,Medium,Intermediate,1,N/A,N/A,N/A
S13,2024-01-01 02:36:00,31.5279,-120.5329,4.7,46,California,Medium,Deep,1,N/A,N/A,N/A
S14,2024-01-01 02:49:00,31.4172,-123.8361,5.6,16,Nevada,Medium,Intermediate,2,N/A,N/A,N/A
S15,2024-01-01 03:02:00,30.4754,-117.1405,5.3,25,California,Medium,Intermediate,1,N/A,N/A,N/A
S16,2024-01-01 03:15:00,35.8438,-117.7642,6.6,10,Oregon,High,Intermediate,2,N/A,N/A,N/A
S17,2024-01-01 03:28:00,32.8461,-117.3861,6.6,40,Hawaii,High,Deep,2,N/A,N/A,N/A
S18,2024-01-01 03:41:00,39.3309,-123.3659,6.7,46,Nevada,High,Deep,2,N/A,N/A,N/A
S19,2024-01-01 03:54:00,32.2707,-118.8338,6.7,37,California,High,Deep,2,N/A,N/A,N/A
S20,2024-01-01 04:07:00,39.5791,-116.8104,6.2,27,Nevada,High,Intermediate,2,N/A,N/A,N/A
S21,2024-01-01 04:20:00,35.0949,-116.7318,3.8,33,Hawaii,Low,Deep,0,N/A,N/A,N/A
S22,2024-01-01 04:33:00,32.9135,-122.4151,5.3,35,California,Medium,Deep,1,N/A,N/A,N/A
S23,2024-01-01 04:46:00,35.0661,-117.5403,3.5,24,Alaska,Low,Intermediate,0,N/A,N/A,N/A
S24,2024-01-01 04:59:00,36.8718,-120.3252,6.8,41,Nevada,High,Deep,2,N/A,N/A,N/A
S25,2024-01-01 05:12:00,39.9741,-115.0508,5.9,46,Alaska,Medium,Deep,2,N/A,N/A,N/A
S26,2024-01-01 05:25:00,39.7044,-119.2307,6.1,6,California,High,Shallow,2,N/A,N/A,N/A
S27,2024-01-01 05:38:00,35.3023,-119.666,3.2,20,Alaska,Low,Intermediate,0,N/A,N/A,N/A
S28,2024-01-01 05:51:00,37.4273,-116.0204,5.6,6,Oregon,Medium,Shallow,2,N/A,N/A,N/A
S29,2024-01-01 06:04:00,38.825,-120.9927,6.5,26,Alaska,High,Intermediate,2,N/A,N/A,N/A
S30,2024-01-01 06:17:00,31.899,-124.3312,6.2,5,California,High,Shallow,2,N/A,N/A,N/A
S31,2024-01-01 06:30:00,34.3323,-116.8065,2.1,45,California,Low,Deep,0,N/A,N/A,N/A
S32,2024-01-01 06:43:00,31.4398,-116.9462,4.8,36,Nevada,Medium,Deep,1,N/A,N/A,N/A
S33,2024-01-01 06:56:00,37.3708,-123.9589,5.7,16,Nevada,Medium,Intermediate,2,N/A,N/A,N/A
S34,2024-01-01 07:09:00,34.7882,-123.0643,5.6,33,Hawaii,Medium,Deep,2,N/A,N/A,N/A
S35,2024-01-01 07:22:00,30.8156,-119.3148,3.3,27,Alaska,Low,Intermediate,0,N/A,N/A,N/A
S36,2024-01-01 07:35:00,35.3646,-122.1872,3.3,18,California,Low,Intermediate,0,N/A,N/A,N/A
S37,2024-01-01 07:48:00,35.6899,-118.999,5.6,27,Hawaii,Medium,Intermediate,2,N/A,N/A,N/A
S38,2024-01-01 08:01:00,34.236,-118.4792,6.9,37,California,High,Deep,2,N/A,N/A,N/A
S39,2024-01-01 08:14:00,39.3236,-124.3596,4.3,19,California,Medium,Intermediate,1,N/A,N/A,N/A
S40,2024-01-01 08:27:00,36.6053,-123.6803,7.0,34,California,High,Deep,3,N/A,N/A,N/A
S41,2024-01-01 08:40:00,37.9698,-123.1637,6.0,27,Nevada,High,Intermediate,2,N/A,N/A,N/A
S42,2024-01-01 08:53:00,36.6313,-120.6699,6.6,10,Hawaii,High,Intermediate,2,N/A,N/A,N/A
S43,2024-01-01 09:06:00,38.7127,-117.184,4.9,50,Nevada,Medium,Deep,1,N/A,N/A,N/A
S44,2024-01-01 09:19:00,35.7687,-122.252,6.1,37,California,High,Deep,2,N/A,N/A,N/A
S45,2024-01-01 09:32:00,36.7929,-121.0295,3.7,20,Hawaii,Low,Intermediate,0,N/A,N/A,N/A
S46,2024-01-01 09:45:00,38.1597,-123.4628,3.2,26,Nevada,Low,Intermediate,0,N/A,N/A,N/A
S47,2024-01-01 09:58:00,32.8428,-115.3476,2.3,22,Hawaii,Low,Intermediate,0,N/A,N/A,N/A
S48,2024-01-01 10:11:00,30.2072,-123.5288,5.6,41,Oregon,Medium,Deep,2,N/A,N/A,N/A
S49,2024-01-01 10:24:00,31.6789,-120.9236,3.7,32,California,Low,Deep,0,N/A,N/A,N/A
S50,2024-01-01 10:37:00,30.3409,-116.4972,2.8,34,Hawaii,Low,Deep,0,N/A,N/A,N/A
